|trigger_num|name       |t90     |t90_error|fluence_2 |fluence_2_error|fluence_3 |fluence_3_error|
|      07517|GRB 990412 |  48.064|    7.516|6.2786e-08|     7.5080e-09|1.2092e-07|     2.2180e-08|
|      07446|GRB 990304-|  13.568|    0.962|7.6643e-07|     1.5340e-08|1.9548e-06|     4.5468e-08|
|      00543|4B 910717- |   4.864|    0.202|1.3739e-06|     1.4362e-08|3.0237e-06|     3.2612e-08|
|      02975|4B 940512- |   0.240|    0.088|9.2942e-09|     1.6590e-09|5.5704e-08|     4.9627e-09|
|      03029|4B 940616- |  44.736|    3.201|1.9993e-07|     2.1031e-08|1.3251e-06|     5.8174e-08|
|      06700|GRB 980423 |   0.192|    0.091|5.3470e-09|     3.5034e-09|9.6371e-08|     1.1631e-08|
|      05575|4B 960815  |  12.800|    0.264|1.2297e-06|     1.5783e-08|3.0709e-06|     4.0982e-08|
|      07932|GRB 000103 |  67.392|    2.819|3.4053e-06|     3.9678e-08|7.6294e-06|     9.9783e-08|
|      02146|4B 930125  |   0.248|    0.040|6.0834e-09|     1.9797e-09|7.3025e-08|     6.5513e-09|
|      01307|4B 920121- |        |         |1.5101e-07|     2.0013e-08|4.7292e-07|     7.9056e-08|
|      02108|4B 921228- |        |         |          |               |          |               |
|      01541|4B 920406  |  26.240|    0.231|1.0673e-05|     3.5702e-08|4.2438e-05|     1.0498e-07|
|      06487|GRB 971118-|   9.408|    3.238|5.4752e-08|     5.5381e-09|8.1921e-08|     1.4212e-08|
|      03860|4B 951011  |  31.488|    0.389|1.9634e-06|     2.6396e-08|1.1904e-05|     8.0514e-08|
|      02953|4B 940429- |  16.832|    0.771|4.4508e-06|     3.0217e-08|1.5153e-05|     7.7901e-08|
|      07526|GRB 990423 |   1.973|    1.284|1.1039e-08|     4.5474e-09|9.0069e-08|     1.3995e-08|
|      06320|GRB 970731 |  57.984|    7.621|1.0919e-06|     3.4432e-08|1.9046e-06|     9.7804e-08|
|      03267|4B 941031- |  54.336|   11.916|3.8074e-07|     2.2094e-08|1.0367e-06|     6.1706e-08|
|      03229|4B 941009  |  20.736|    0.905|1.8131e-07|     1.6113e-08|1.8644e-07|     3.7865e-08|
|      07745|GRB 990829-|   3.264|    0.898|6.5986e-08|     6.9282e-09|1.0564e-07|     1.8236e-08|
|      03890|4B 951102- |  12.224|    0.320|3.3638e-07|     1.5969e-08|5.0579e-07|     4.3209e-08|
|      00516|4B 910712  |  12.672|    3.117|3.1985e-07|     1.6734e-08|3.0207e-07|     3.1988e-08|
|      07990|GRB 000217-|        |         |          |               |          |               |
|      02484|4B 930807- |  11.392|    1.370|4.9721e-07|     2.0639e-08|1.7565e-06|     5.2859e-08|
|      07678|GRB 990728 |  42.752|    0.707|7.0401e-06|     3.3717e-08|3.0869e-05|     9.0764e-08|
|      05423|4B 960415- |  13.312|    5.773|1.2120e-07|     1.0933e-08|2.3341e-07|     2.8733e-08|
|      06630|GRB 980306-|  23.552|    0.326|3.0786e-06|     2.5213e-08|1.0026e-05|     6.4006e-08|
|      07864|GRB 991120 |        |         |          |               |          |               |
